date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:54	8991/8991	---MC-	302	error ('Found')	text/html	date:Fri,%2014%20Mar%202025%2014:00:54%20GMT	https://www.joy-bakery.cz/robots.txt		(from )
16:00:54	15320/15320	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2014:00:55%20GMT	https://www.joy-bakery.cz/	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/index.html	(from )
16:00:54	13603/13603	---M-Z	200	added ('OK')	text/css	etag:%223523-5f921f74fea80-gzip%22	https://www.joy-bakery.cz/css/admin.css	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/css/admin.css	(from https://www.joy-bakery.cz/)
16:00:55	1710/1710	---M-Z	200	added ('OK')	text/css	etag:%226ae-5f6f218137480-gzip%22	https://www.joy-bakery.cz/css/default.css	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/css/default.css	(from https://www.joy-bakery.cz/)
16:00:55	16654/16654	---M-Z	200	added ('OK')	text/css	etag:%22410e-5fad9a1fb4700-gzip%22	https://www.joy-bakery.cz/css/style.css	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/css/style.css	(from https://www.joy-bakery.cz/)
16:00:55	1244/1244	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2014:00:56%20GMT	https://use.typekit.net/yxl2vvh.css	C:/Users/Radu/Downloads/bakery5/use.typekit.net/yxl2vvh.css	(from https://www.joy-bakery.cz/)
16:00:56	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%2215d9d-5e0eed94b9200-gzip%22	https://www.joy-bakery.cz/js/jquery-3.6.0.min.js	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/js/jquery-3.6.0.min.js	(from https://www.joy-bakery.cz/)
16:00:56	58327/58327	---M-Z	200	added ('OK')	application/javascript	etag:%22e3d7-5f1e6c034a140-gzip%22	https://www.joy-bakery.cz/plugins/bootstrap/js/bootstrap.js	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/plugins/bootstrap/js/bootstrap.js	(from https://www.joy-bakery.cz/)
16:00:56	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%226b4a-52db138258e80-gzip%22	https://www.joy-bakery.cz/plugins/font-awesome/css/font-awesome.min.css	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/plugins/font-awesome/css/font-awesome.min.css	(from https://www.joy-bakery.cz/)
16:00:56	21906/21906	---M-Z	200	added ('OK')	application/javascript	etag:%225592-5fad970733940-gzip%22	https://www.joy-bakery.cz/js/myScripts.js	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/js/myScripts.js	(from https://www.joy-bakery.cz/)
16:00:56	1878/1878	---M-Z	200	added ('OK')	application/javascript	etag:%22756-5f91ffad32fc0-gzip%22	https://www.joy-bakery.cz/js/modals.js	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/js/modals.js	(from https://www.joy-bakery.cz/)
16:00:57	3736/3736	---M-Z	200	added ('OK')	application/javascript	etag:%22e98-5f91fe19cb800-gzip%22	https://www.joy-bakery.cz/js/module_scripts.js	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/js/module_scripts.js	(from https://www.joy-bakery.cz/)
16:00:57	4134/4134	---M-Z	200	added ('OK')	application/javascript	etag:%221026-5f6d9730b2680-gzip%22	https://www.joy-bakery.cz/js/table_sort.js	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/js/table_sort.js	(from https://www.joy-bakery.cz/)
16:00:57	1029/1029	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Mar%202025%2014:00:58%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=favicon.ico	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/image56f2.png	(from https://www.joy-bakery.cz/)
16:00:57	36923/36923	---MC-	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Mar%202025%2014:00:58%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=logo.svg	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/image9419.svg	(from https://www.joy-bakery.cz/)
16:00:58	1345/1345	---MC-	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Mar%202025%2014:00:58%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=burger.svg	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/image3de4.svg	(from https://www.joy-bakery.cz/)
16:00:58	13850/13850	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2014:00:59%20GMT	https://www.joy-bakery.cz/products/categories_products	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/products/categories_products.html	(from https://www.joy-bakery.cz/)
16:00:58	10009/10009	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2014:00:59%20GMT	https://www.joy-bakery.cz/info/blog	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/info/blog.html	(from https://www.joy-bakery.cz/)
16:00:58	10692/10692	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2014:00:59%20GMT	https://www.joy-bakery.cz/info/delivery	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/info/delivery.html	(from https://www.joy-bakery.cz/)
16:00:59	9411/9411	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2014:00:59%20GMT	https://www.joy-bakery.cz/info/career	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/info/career.html	(from https://www.joy-bakery.cz/)
16:00:59	10059/10059	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2014:00:59%20GMT	https://www.joy-bakery.cz/info/contact	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/info/contact.html	(from https://www.joy-bakery.cz/)
16:00:59	9811/9811	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2014:01:00%20GMT	https://www.joy-bakery.cz/info/find_us	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/info/find_us.html	(from https://www.joy-bakery.cz/)
16:00:59	680/680	---MC-	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Mar%202025%2014:01:00%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=map-pin.svg	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/imagef785.svg	(from https://www.joy-bakery.cz/)
16:00:59	793/793	---MC-	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Mar%202025%2014:01:00%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=arrow-down.svg	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/image5b91.svg	(from https://www.joy-bakery.cz/)
16:01:00	10489/10489	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2014:01:00%20GMT	https://www.joy-bakery.cz/info/our_story	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/info/our_story.html	(from https://www.joy-bakery.cz/)
16:01:00	774333/774333	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Mar%202025%2014:01:00%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=bread-main.png	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/imageee58.png	(from https://www.joy-bakery.cz/)
16:01:00	277732/277732	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Mar%202025%2014:01:01%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=bread-main-q.png	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/image372b.png	(from https://www.joy-bakery.cz/)
16:01:00	269347/269347	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Mar%202025%2014:01:01%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=bun-main.png	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/imagea745.png	(from https://www.joy-bakery.cz/)
16:01:00	242898/242898	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Mar%202025%2014:01:01%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=croissant-choco-main.png	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/image2762.png	(from https://www.joy-bakery.cz/)
16:01:01	271446/271446	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Mar%202025%2014:01:01%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=buns-main.png	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/image872b.png	(from https://www.joy-bakery.cz/)
16:01:01	168451/168451	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Mar%202025%2014:01:02%20GMT	https://www.joy-bakery.cz/images/uploads/image.php?upload=baguette-behind.png	C:/Users/Radu/Downloads/bakery5/www.joy-bakery.cz/images/uploads/imageade7.png	(from https://www.joy-bakery.cz/)
